,Hour of Day,JazzerStix,Max Blumenthal,Mnar Muhawesh Adley,Noah C Rothman,WRPitt
0,12 AM,7,24,1,30,6
1,1 AM,4,47,8,34,5
2,2 AM,3,29,0,30,2
3,3 AM,0,36,0,15,4
4,4 AM,0,31,0,0,0
5,5 AM,0,27,0,0,0
6,6 AM,0,28,0,0,0
7,7 AM,0,10,0,0,0
8,8 AM,1,10,0,0,0
9,9 AM,8,0,0,1,0
10,10 AM,10,0,0,2,0
11,11 AM,19,2,0,13,2
12,12 PM,19,2,0,31,2
13,1 PM,13,6,0,106,8
14,2 PM,15,4,2,49,5
15,3 PM,4,5,14,79,5
16,4 PM,51,16,22,48,16
17,5 PM,70,39,22,54,12
18,6 PM,75,48,12,61,16
19,7 PM,86,38,38,48,5
20,8 PM,142,59,14,22,4
21,9 PM,167,59,18,27,4
22,10 PM,97,48,6,29,2
23,11 PM,33,45,6,29,6
